14," ""Stanley #2 Philips Screwdriver""", true,10,6.95
2342," ""Polar USB mini desk fan""", false,0,10.5
22389," ""Swingline Model B2200 stapler""", true,500,18
3451," ""Oakley Jawbreaker sunglasses""", true,119,236
4452," ""Colnago stem - black 130mm""", false,0,145.99
56718," ""Tamiya Mclaren MP4-8 Ford 1/20""", false,0,75
14909," ""1/4in - 28tpi SS nuts""", true,2500,1
2190," ""Hefty 30 gal with handles - box 40""", true,890,19
22345532," ""3 ft mini USB cable M-F""", true,444,4.5
678944," ""EZ-ink cartrige set for Epson 4630""", false,0,75
234887," ""2023 CSX train calendar""", true,45,12.95
198," ""Box of 10 Sharpie Roller 0.5mm""", true,6690,6.5
298765," ""3x5 index cards - 100 count""", true,14395,2.25
7654," ""Bell Stratos helmet - size Lg - blue""", false,0,230
67YX22," ""DTM Calendar for 2023""", false,0,14.95
65435689," ""12x16 paper cutter with ruler""", true,45,35.95
8543," ""Ritchey 1 inch threaded headset - silver""", true,1,45
38712987," ""Wilson NCAA official softball - 1 ea""", true,22,5.5
2234983," ""Wilson NCAA official softball - 1 doz""", true,234,55
23," ""Tamiya 2oz paint - ferrari red""", true,4,2.39
97634," ""Campagnolo 12 spd crankset - 53/39 175mm""", true,2,750
85456," ""Campagnolo 12 spd rear der""", true,2,350
67913," ""Gios Torino t-shirt size XXL""", true,1,25
387," ""Brachs butterscotch hard candy - 1 lb""", true,44,4.5
113355," ""The Bourne Identity - blu-ray""", true,8,15.95
1111," ""Top Secret Twenty One - Janet Evanovich""", true,66,8.99
286934," ""1 lb - coffee beans""", true,239,6.5
358922," ""25 lbs peanuts in shell""", false,23,45
47831," ""8x10 picture frame""", true,7890,4.95
19981," ""Pledge furniture polish 13oz""", true,2,6.5
228865," ""3M Super 33+ electrical tape""", true,14,3.5
228865X," ""3M Super 33+ electrical tape box 10""", true,22,32.5
4762," ""HP copy paper ultra white - ream""", true,92,13.5
29741," ""Plush teddy bear 8 inch""", true,3,24
339921," ""Yamaha KT 100 kart engine""", true,1,950
115693," ""Colnago C64 - Mapei frame""", true,1,6500
582913," ""Look Keo 2 Max pedals""", true,49,135
4499120," ""M&Ms dark chocolate w/peanuts - 3oz""", true,46,2.5
268," ""Sidi Wire 2 carbon shoes - size 48""", true,2,499.99
89476," ""Assos T-Evo shorts""", true,2,299.95
245667," ""Colnago jersey - size 6""", true,1,120
RTX3452," ""Laser Pointer""", true,3,38.8
