30012024123848,14," ""Stanley #2 Philips Screwdriver""",$6.95,3,0.0,$20.85,January 30, 2024, 12:38:48AM EST,
30012024123848,198," ""Box of 10 Sharpie Roller 0.5mm""",$6.50,11,0.15,$60.78,January 30, 2024, 12:38:48AM EST,
30012024123848,387," ""Brachs butterscotch hard candy - 1 lb""",$4.50,42,0.2,$151.20,January 30, 2024, 12:38:48AM EST,

30012024012957,14," ""Stanley #2 Philips Screwdriver""",$6.95,5,0.1,$31.27,January 30, 2024, 01:29:57AM EST,
30012024012957,22389," ""Swingline Model B2200 stapler""",$18.00,14,0.15,$214.20,January 30, 2024, 01:29:57AM EST,
30012024012957,2190," ""Hefty 30 gal with handles - box 40""",$19.00,2,0.0,$38.00,January 30, 2024, 01:29:57AM EST,
30012024012957,22345532," ""3 ft mini USB cable M-F""",$4.50,47,0.2,$169.20,January 30, 2024, 01:29:57AM EST,

30012024013443,23," ""Tamiya 2oz paint - ferrari red""",$2.39,4,0.0,$9.56,January 30, 2024, 01:34:43AM EST,

30012024013550,2190," ""Hefty 30 gal with handles - box 40""",$19.00,15,0.2,$228.00,January 30, 2024, 01:35:50AM EST,
30012024013550,387," ""Brachs butterscotch hard candy - 1 lb""",$4.50,41,0.2,$147.60,January 30, 2024, 01:35:50AM EST,
30012024013550,1111," ""Top Secret Twenty One - Janet Evanovich""",$8.99,1,0.0,$8.99,January 30, 2024, 01:35:50AM EST,
30012024013550,4762," ""HP copy paper ultra white - ream""",$13.50,5,0.1,$60.75,January 30, 2024, 01:35:50AM EST,

30012024013717,RTX3452," ""Laser Pointer""",$38.80,2,0.0,$77.60,January 30, 2024, 01:37:17AM EST,
30012024013717,268," ""Sidi Wire 2 carbon shoes - size 48""",$499.99,1,0.0,$499.99,January 30, 2024, 01:37:17AM EST,
30012024013717,387," ""Brachs butterscotch hard candy - 1 lb""",$4.50,14,0.15,$53.55,January 30, 2024, 01:37:17AM EST,
30012024013717,23," ""Tamiya 2oz paint - ferrari red""",$2.39,1,0.0,$2.39,January 30, 2024, 01:37:17AM EST,

30012024015639,14," ""Stanley #2 Philips Screwdriver""",$6.95,1,0.0,$6.95,January 30, 2024, 01:56:39AM EST,
30012024015639,387," ""Brachs butterscotch hard candy - 1 lb""",$4.50,4,0.0,$18.00,January 30, 2024, 01:56:39AM EST,
